code,lang,serie,fichero,url,pdf,txt,titulo,n_caracteres
ITM-SST 1235.1,fr,itm-cl-1100-2000,ITM-SST-1235-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1235-1.pdf,corpus/itm/pdf/ITM-SST-1235-1.pdf,corpus/itm/txt/ITM-SST-1235-1.txt,ITM-SST 1235.1 — Ponts élévateurs pour véhicules — (Elévateur de garage) — avec marquage « CE »,4582
ITM-SST 1237.1,fr,itm-cl-1100-2000,ITM-SST-1237-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1237-1.pdf,corpus/itm/pdf/ITM-SST-1237-1.pdf,corpus/itm/txt/ITM-SST-1237-1.txt,ITM-SST 1237.1 — Appareils de levage mobiles équipés d’une nacelle — avec marquage « CE » — Prescriptions de sécurité types,7983
ITM-SST 1229.1,fr,itm-cl-1100-2000,ITM-SST-1229-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1229-1.pdf,corpus/itm/pdf/ITM-SST-1229-1.pdf,corpus/itm/txt/ITM-SST-1229-1.txt,ITM-SST 1229.1 — Nacelles automotrices pour le levage de personnes conçues — d’après la directive 98/37/CE ou la directive 2006/42/CE — relative aux machines,19325
ITM-SST 1238.1,fr,itm-cl-1100-2000,ITM-SST-1238-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1238-1.pdf,corpus/itm/pdf/ITM-SST-1238-1.pdf,corpus/itm/txt/ITM-SST-1238-1.txt,ITM-SST 1238.1 — Monte-charges — avec marquage « CE » — U   Prescriptions de sécurité types,6804
ITM-SST 1239.1,fr,itm-cl-1100-2000,ITM-SST-1239-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1239-1.pdf,corpus/itm/pdf/ITM-SST-1239-1.pdf,corpus/itm/txt/ITM-SST-1239-1.txt,ITM-SST 1239.1 — Escaliers mécaniques et trottoirs roulants — avec marquage « CE » — Prescriptions de sécurité types,10699
ITM-SST 1240.1,fr,itm-cl-1100-2000,ITM-SST-1240-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1240-1.pdf,corpus/itm/pdf/ITM-SST-1240-1.pdf,corpus/itm/txt/ITM-SST-1240-1.txt,ITM-SST 1240.1 — Montes-charge mobiles — avec marquage « CE » — U   Prescriptions de sécurité types,5912
ITM-SST 1241.1,fr,itm-cl-1100-2000,ITM-SST-1241-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1241-1.pdf,corpus/itm/pdf/ITM-SST-1241-1.pdf,corpus/itm/txt/ITM-SST-1241-1.txt,ITM-SST 1241.1 — Appareils de levage mobiles à équipement interchangeable — avec marquage « CE » — Prescriptions de sécurité types,20927
ITM-SST 1242.1,fr,itm-cl-1100-2000,ITM-SST-1242-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1242-1.pdf,corpus/itm/pdf/ITM-SST-1242-1.pdf,corpus/itm/txt/ITM-SST-1242-1.txt,ITM-SST 1242.1 — Appareils élévateurs à plateforme ou à chaise pour — personnes avec marquage « CE » — Prescriptions de sécurité types,33189
ITM-SST 1228.2,fr,itm-cl-1100-2000,ITM-SST-1228-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1228-2.pdf,corpus/itm/pdf/ITM-SST-1228-2.pdf,corpus/itm/txt/ITM-SST-1228-2.txt,ITM-SST 1228.2 — Appareils élévateurs à plateforme ou à chaise pour — personnes conçus d'après la directive 98/37/CE — respectivement 2006/42/CE relative aux machines,25294
ITM-SST 1228.1,fr,itm-cl-1100-2000,ITM-SST-1228-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1228-1.pdf,corpus/itm/pdf/ITM-SST-1228-1.pdf,corpus/itm/txt/ITM-SST-1228-1.txt,ITM-SST 1228.1 — Appareils élévateurs à plateforme pour personnes — conçus d'après la directive 98/37/CE relative aux — U   Prescriptions de sécurité types,24963
ITM-SST 1243.1,fr,itm-cl-1100-2000,ITM-SST-1243-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1243-1.pdf,corpus/itm/pdf/ITM-SST-1243-1.pdf,corpus/itm/txt/ITM-SST-1243-1.txt,ITM-SST 1243.1 — Appareils de levage et de transport de personnes à — mobilité réduite utilisés à des fins de soins ou de — traitement médical,28356
