building_id,lon,lat,n_addresses,adresse_ejemplo,parcel_ref,parcel_label,parcel_area_m2
Building2D.ACT_099f5d85-c86c-47fc-95ce-a9df144f7d72,6.1311924,49.6135982,1,"22, Côte d'Eich, 1450 Luxembourg, Luxembourg",075F00209001008,209/1008,479.68
Building2D.ACT_0a19eb59-ecc4-4136-aae0-afa86d92774b,6.13145,49.613528,0,,075F00209001008,209/1008,479.68
Building2D.ACT_0a34ca12-986a-4f81-9daa-f9f757fad5aa,6.1343145,49.6116423,1,"6, Rue Wiltheim, 2733 Luxembourg, Luxembourg",075F00349002520,349/2520,105.72
Building2D.ACT_0a3debfa-a819-48f5-b146-8d8073acdb04,6.1285953,49.6122726,1,"60, Grand-Rue, 1660 Luxembourg, Luxembourg",075F00120001778,120/1778,656.68
Building2D.ACT_0adcf953-e06e-4185-90c9-dfd9fb796090,6.1290086,49.6107414,0,,075F00423000000,423,21.03
Building2D.ACT_0ae0a24a-b8fd-42fa-9e13-a54e56ac6b76,6.1320481,49.6152281,1,"7, Rue Mohrfels, 2158 Luxembourg, Luxembourg",075B00083000745,83/745,196.14
Building2D.ACT_0b5a40f8-e5a4-4f25-937e-93a937dcd433,6.1284065,49.61365,2,"13, Boulevard Royal, 2449 Luxembourg, Luxembourg",075F00004000587,4/587,263.38
Building2D.ACT_0bf13fe4-5626-474f-a7b2-7198c0fdd556,6.1252857,49.6106864,3,"12, Avenue Monterey, 2163 Luxembourg, Luxembourg",075F00731002369,731/2369,738.78
Building2D.ACT_0c0d7097-0b46-4298-9688-b7f4c042c057,6.1330222,49.6148856,1,"3, Boulevard de l'Alzette, 1124 Luxembourg, Luxembourg",075B00166000510,166/510,166.4
Building2D.ACT_0c1f97e3-b991-45c9-b24a-33be274d752b,6.12583,49.6098421,1,"30, Boulevard Royal, 2449 Luxembourg, Luxembourg",075F00722002780,722/2780,1141.12
Building2D.ACT_0c526f19-9102-4722-a23e-1e0b443c17c2,6.1342689,49.6101333,1,"19, Rue Large, 1917 Luxembourg, Luxembourg",075F00673000000,673,45.56
Building2D.ACT_0c6a9980-575a-4c40-bd8a-3858dbb1b523,6.126954,49.6124955,1,"9, Rue Aldringen, 1118 Luxembourg, Luxembourg",075F00103002146,103/2146,150.46
Building2D.ACT_0c6e1608-e841-4534-8d8e-977f064c8f88,6.1317829,49.6115024,1,"7, Rue du Fossé, 1536 Luxembourg, Luxembourg",075F00309000260,309/260,84.55
Building2D.ACT_0cf4edad-3cd5-40f0-98ff-432f9faa21b6,6.1340395,49.6146286,1,"8, Rue Vauban, 2663 Luxembourg, Luxembourg",075B00329000210,329/210,763.59
Building2D.ACT_0d871d3b-7509-473b-b81f-21aba8a6da58,6.1284793,49.6111777,1,"2, Avenue Monterey, 2163 Luxembourg, Luxembourg",075F00203001486,203/1486,1611.71
Building2D.ACT_0d9bc4e6-66ae-4334-a7b3-8afcd838c901,6.1266482,49.6108073,1,"10, Avenue Monterey, 2163 Luxembourg, Luxembourg",075F00200002620,200/2620,313.38
Building2D.ACT_0e4db464-f7e7-4c64-a9f5-c5ff734ef3cf,6.1286553,49.6131453,1,"24, Rue Beaumont, 1219 Luxembourg, Luxembourg",075F00035000000,35,177.79
Building2D.ACT_0ed0d784-854c-48e2-b681-a5e10ef0281f,6.1312933,49.6152024,2,"5, Rue Laurent Menager, 2143 Luxembourg, Luxembourg",075B00005000621,5/621,541.88
Building2D.ACT_0f522afa-54db-4514-bb9a-e6eb5cb40fb5,6.1290082,49.6123179,1,"54, Grand-Rue, 1660 Luxembourg, Luxembourg",075F00123001826,123/1826,310.76
Building2D.ACT_0fd2be49-5918-4528-b8c4-54468031e9a7,6.1338292,49.6111054,2,"32, Rue de l'Eau, 1449 Luxembourg, Luxembourg",075F00591000000,591,98.01
Building2D.ACT_0fd9c298-f99e-41ec-bb6d-626cd25c0186,6.1353487,49.608701,2,"5, Rue Munster, 2160 Luxembourg, Luxembourg",075C00117000387,117/387,715.75
Building2D.ACT_1014e1ee-6597-4997-aea6-7d1e8fadfa23,6.1240142,49.6081895,1,"3, Avenue Marie-Thérèse, 2132 Luxembourg, Luxembourg",075F00704002232,704/2232,7359.4
Building2D.ACT_10673e68-405f-443d-bf2f-03af8496564d,6.1300424,49.60987,1,"13, Rue Notre-Dame, 2240 Luxembourg, Luxembourg",075F00498000400,498/400,166.06
Building2D.ACT_108d7869-c151-4352-b586-03fcda6eb99a,6.1297875,49.611905,2,"6, Rue des Capucins, 1313 Luxembourg, Luxembourg",075F00261000658,261/658,85.82
Building2D.ACT_109b1d14-2821-47ca-b0bc-151af925e06f,6.1335793,49.6138,1,"43, Rue Mohrfels, 2158 Luxembourg, Luxembourg",075B00213000489,213/489,268.07
Building2D.ACT_112f274b-0743-4e7d-af69-50b49e7cb5c6,6.1348275,49.6088794,0,,075C00061000000,61,24.89
Building2D.ACT_114373aa-16f9-433e-9e11-77586555c146,6.134205,49.6107156,1,"4, Rue Large, 1917 Luxembourg, Luxembourg",075F00549002410,549/2410,91.32
Building2D.ACT_1158a7cc-c3a5-43eb-883c-2a8769d38456,6.1249171,49.6113629,1,"25A, Boulevard Prince Henri, 1724 Luxembourg, Luxembourg",075F00731002252,731/2252,228.65
