building_id,lon,lat,area_m2,tipo,parcel_capakey,parcel_niscode,nis_total_edificios,nis_pct_pre1946,nis_pct_post1981,nis_pct_calefaccion,nis_viviendas,nis_epeil_medio
3735270,4.396972,51.2205252,,hoofdgebouw,11804D0079/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3738519,4.4068558,51.2185875,,hoofdgebouw,11803C1501/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3738665,4.4072272,51.2155992,,hoofdgebouw,11803C1057/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3738808,4.4077242,51.2163722,,hoofdgebouw,11803C1111/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3736833,4.4019234,51.215034,,hoofdgebouw,11804D1463/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3735645,4.3982743,51.2189523,,hoofdgebouw,11804D0372/00E000,11002,129327,48.7,11.7,58.2,284057,52.3
3736561,4.4009828,51.2168185,,hoofdgebouw,11804D0835/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3738058,4.4050006,51.217617,,hoofdgebouw,11803C1672/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3736584,4.4010498,51.2147924,,hoofdgebouw,11804D1432/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3738393,4.4060327,51.2165901,,hoofdgebouw,11803C1192/00D000,11002,129327,48.7,11.7,58.2,284057,52.3
3736395,4.4005526,51.2189866,,hoofdgebouw,11803C2108/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3738997,4.4084201,51.2163916,,hoofdgebouw,11803C1132/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3736289,4.4002784,51.220018,,hoofdgebouw,11803C2064/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3738914,4.4082212,51.2218206,,hoofdgebouw,11802B0844/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3737560,4.4037976,51.2205951,,hoofdgebouw,11002A1062/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3737039,4.4023537,51.2166293,,hoofdgebouw,11803C1950/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3738977,4.4083695,51.216808,,hoofdgebouw,11803C1224/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3735041,4.3949856,51.2172162,,hoofdgebouw,11804D3443/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3902429,4.4071127,51.2151479,,hoofdgebouw,11803C0933/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3734981,4.3945665,51.2159403,,hoofdgebouw,11804D3477/00X005,11002,129327,48.7,11.7,58.2,284057,52.3
3735957,4.3994209,51.2217925,,hoofdgebouw,11002A1484/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3738204,4.4056419,51.2188588,,hoofdgebouw,11803C1600/00D000,11002,129327,48.7,11.7,58.2,284057,52.3
3738287,4.4058166,51.2173822,,hoofdgebouw,11803C1271/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3735625,4.3981529,51.2188342,,hoofdgebouw,11804D0374/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3735542,4.3979325,51.2158025,,hoofdgebouw,11804D0973/00G002,11002,129327,48.7,11.7,58.2,284057,52.3
3735519,4.3978663,51.215357,,hoofdgebouw,11804D2745/00D000,11002,129327,48.7,11.7,58.2,284057,52.3
3738290,4.4056454,51.2202218,,hoofdgebouw,11802B2256/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3739289,4.4100047,51.2205802,,hoofdgebouw,11802B1653/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3737125,4.402574,51.2149292,,hoofdgebouw,11804D1737/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3736186,4.4000205,51.2202919,,hoofdgebouw,11803C2044/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3735273,4.3969095,51.2169711,,hoofdgebouw,11804D3230/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3735356,4.3971945,51.2157961,,hoofdgebouw,11804D0960/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3738101,4.4051653,51.2206211,,hoofdgebouw,11002A1025/00D000,11002,129327,48.7,11.7,58.2,284057,52.3
3735522,4.3978175,51.2157424,,hoofdgebouw,11804D0973/00E002,11002,129327,48.7,11.7,58.2,284057,52.3
3736129,4.3998628,51.2200169,,hoofdgebouw,11804D0337/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3739209,4.4096632,51.21842,,hoofdgebouw,11803C1390/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3738021,4.4048957,51.2176429,,hoofdgebouw,11803C1673/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3738648,4.4071683,51.2152222,,hoofdgebouw,11803C0932/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3736046,4.3997221,51.2174368,,hoofdgebouw,11804D0759/00G000,11002,129327,48.7,11.7,58.2,284057,52.3
3736939,4.4020995,51.2209778,,hoofdgebouw,11002A1202/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3736023,4.3995627,51.2165451,,hoofdgebouw,11804D0803/00E000,11002,129327,48.7,11.7,58.2,284057,52.3
3736796,4.4017283,51.2213167,,hoofdgebouw,11002A1219/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3738459,4.4063064,51.220292,,hoofdgebouw,11802B2237/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3738605,4.4070127,51.216264,,hoofdgebouw,11803C1105/00D000,11002,129327,48.7,11.7,58.2,284057,52.3
3735525,4.3978158,51.2219583,,hoofdgebouw,11002A1567/02A000,11002,129327,48.7,11.7,58.2,284057,52.3
3738439,4.4062474,51.2216866,,hoofdgebouw,11802B2296/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3735256,4.3968111,51.2172357,,hoofdgebouw,11804D3291/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3735442,4.3975134,51.2170555,,hoofdgebouw,11804D0661/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3737772,4.4043037,51.2173293,,hoofdgebouw,11803C1757/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3736418,4.4006192,51.2170369,,hoofdgebouw,11804D0771/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3736026,4.3995974,51.2220592,,hoofdgebouw,11002A1481/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3737918,4.4045294,51.2176038,,hoofdgebouw,11803C1680/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3735004,4.3947096,51.2150562,,hoofdgebouw,11804D3168/00D000,11002,129327,48.7,11.7,58.2,284057,52.3
3738001,4.4047667,51.2176348,,hoofdgebouw,11803C1677/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3735027,4.3949723,51.2167774,,hoofdgebouw,11804D3473/00G002,11002,129327,48.7,11.7,58.2,284057,52.3
3735087,4.3954178,51.2172875,,hoofdgebouw,11804D3459/00H000,11002,129327,48.7,11.7,58.2,284057,52.3
3735731,4.3985289,51.2195088,,hoofdgebouw,11804D0357/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3735671,4.3983534,51.2149329,,hoofdgebouw,11804D2793/00E000,11002,129327,48.7,11.7,58.2,284057,52.3
3735588,4.3980687,51.2147868,,hoofdgebouw,11804D2704/00G000,11002,129327,48.7,11.7,58.2,284057,52.3
3735648,4.3982405,51.2158813,,hoofdgebouw,11804D0973/00M003,11002,129327,48.7,11.7,58.2,284057,52.3
3739189,4.4095118,51.2218601,,hoofdgebouw,11802B0889/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3735565,4.3979528,51.2221385,,hoofdgebouw,11002A1458/02A000,11002,129327,48.7,11.7,58.2,284057,52.3
3737503,4.4035696,51.216686,,hoofdgebouw,11803C1782/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3735422,4.3975288,51.2204341,,hoofdgebouw,11804D0244/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3737480,4.4035017,51.2171993,,hoofdgebouw,11803C1819/00E000,11002,129327,48.7,11.7,58.2,284057,52.3
3739146,4.4092229,51.2178759,,hoofdgebouw,11803C1359/00G000,11002,129327,48.7,11.7,58.2,284057,52.3
3737397,4.4033175,51.2209113,,hoofdgebouw,11002A1165/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3738874,4.4080146,51.2199792,,hoofdgebouw,11802B2078/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3738814,4.4077029,51.2166453,,hoofdgebouw,11803C1170/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3735900,4.3992168,51.2195045,,hoofdgebouw,11804D0301/00X000,11002,129327,48.7,11.7,58.2,284057,52.3
3737875,4.4044626,51.2212441,,hoofdgebouw,11002A1090/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3737174,4.4026929,51.2220719,,hoofdgebouw,11002A0888/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3739338,4.4103163,51.2204878,,hoofdgebouw,11802B1640/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3736092,4.3998202,51.2148581,,hoofdgebouw,11804D1223/00Z000,11002,129327,48.7,11.7,58.2,284057,52.3
3736235,4.4001327,51.2189543,,hoofdgebouw,11804D0445/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3739149,4.4093744,51.2173418,,hoofdgebouw,11803C1360/00V000,11002,129327,48.7,11.7,58.2,284057,52.3
3738505,4.4065856,51.2168211,,hoofdgebouw,11803C1205/00M000,11002,129327,48.7,11.7,58.2,284057,52.3
3738007,4.4050494,51.2170696,,hoofdgebouw,11803C1716/00D000,11002,129327,48.7,11.7,58.2,284057,52.3
3738422,4.4061249,51.2200459,,hoofdgebouw,11802B2246/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3738067,4.4051464,51.2176407,,hoofdgebouw,11803C1670/00G000,11002,129327,48.7,11.7,58.2,284057,52.3
3735714,4.3984104,51.2219848,,bijgebouw,11002A1446/00D002,11002,129327,48.7,11.7,58.2,284057,52.3
3736985,4.4026127,51.2186366,,hoofdgebouw,11803C2165/00M000,11002,129327,48.7,11.7,58.2,284057,52.3
3735571,4.3980088,51.2152712,,hoofdgebouw,11804D2752/00H000,11002,129327,48.7,11.7,58.2,284057,52.3
3737486,4.4034946,51.22104,,hoofdgebouw,11002A1152/00D000,11002,129327,48.7,11.7,58.2,284057,52.3
3735548,4.3979335,51.2208399,,hoofdgebouw,11804D0279/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3736487,4.4008075,51.2218171,,hoofdgebouw,11002A1313/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3735405,4.397362,51.2155808,,hoofdgebouw,11804D2854/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3735113,4.3956243,51.2169054,,hoofdgebouw,11804D3218/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3735173,4.3963825,51.2190627,,hoofdgebouw,11804D0137/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3735465,4.397626,51.220976,,hoofdgebouw,11804D0012/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3738379,4.4059736,51.2150964,,hoofdgebouw,11803C0963/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3736298,4.4003455,51.2199339,,hoofdgebouw,11803C2063/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3735279,4.3969723,51.2202195,,hoofdgebouw,11804D0087/00A000,11002,129327,48.7,11.7,58.2,284057,52.3
3737131,4.4025938,51.222073,,hoofdgebouw,11002A0889/00_000,11002,129327,48.7,11.7,58.2,284057,52.3
3736215,4.4000689,51.2184284,,hoofdgebouw,11804D0495/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3738319,4.4058167,51.2166883,,hoofdgebouw,11803C1198/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3738485,4.4065522,51.215513,,hoofdgebouw,11803C1068/00G000,11002,129327,48.7,11.7,58.2,284057,52.3
3737715,4.4040444,51.2196623,,hoofdgebouw,11803C2319/00C000,11002,129327,48.7,11.7,58.2,284057,52.3
3738548,4.4067729,51.2168102,,hoofdgebouw,11803C1205/00K000,11002,129327,48.7,11.7,58.2,284057,52.3
3735551,4.3979176,51.2197524,,hoofdgebouw,11804D0210/00B000,11002,129327,48.7,11.7,58.2,284057,52.3
3735611,4.398133,51.2159794,,hoofdgebouw,11804D0973/00P003,11002,129327,48.7,11.7,58.2,284057,52.3
3735468,4.3977017,51.2215861,,hoofdgebouw,11002A1578/00X000,11002,129327,48.7,11.7,58.2,284057,52.3
3736693,4.4014516,51.2162503,,hoofdgebouw,11804D0845/00R000,11002,129327,48.7,11.7,58.2,284057,52.3
3738442,4.4061855,51.2165745,,hoofdgebouw,11803C1190/00S000,11002,129327,48.7,11.7,58.2,284057,52.3
