building_id,lon,lat,area_m2,tipo,n_addresses,adresse_ejemplo,parcel_capakey,parcel_niscode,nis_total_edificios,nis_pct_pre1946,nis_pct_post1981,nis_pct_calefaccion,nis_viviendas,nis_epeil_medio
1636612,4.3534251,50.8468093,155,,1,"Rue de la Colline 13, 1000 Bruxelles",21004A0436/00F000,21004,27440,69.0,9.2,75.6,98852,
1783136,4.35342,50.8468955,47,,0,,21004A0434/00E000,21004,27440,69.0,9.2,75.6,98852,
1640032,4.3535488,50.8464351,150,,1,"Rue de la Colline 24, 1000 Bruxelles",21004A1208/00B000,21004,27440,69.0,9.2,75.6,98852,
1614655,4.3535741,50.8468038,119,,6,"Rue de la Colline 9, 1000 Bruxelles",21004A0434/00E000,21004,27440,69.0,9.2,75.6,98852,
1786749,4.353604,50.8468627,17,,0,,21004A0433/00A000,21004,27440,69.0,9.2,75.6,98852,
1645824,4.3536676,50.8468139,46,,1,"Rue de la Colline 7, 1000 Bruxelles",21004A0433/00A000,21004,27440,69.0,9.2,75.6,98852,
1608890,4.353828,50.8465021,227,,2,"Rue de la Colline 12, 1000 Bruxelles",21004A1212/00K000,21004,27440,69.0,9.2,75.6,98852,
1605401,4.3537435,50.8468038,25,,1,"Rue de la Colline 5, 1000 Bruxelles",21004A0432/00B000,21004,27440,69.0,9.2,75.6,98852,
1637757,4.3538086,50.8465948,73,,1,"Rue de la Colline 10, 1000 Bruxelles",21004A1213/00B000,21004,27440,69.0,9.2,75.6,98852,
1611191,4.3538024,50.8468492,126,,4,"Rue de la Colline 1, 1000 Bruxelles",21004A0430/00B000,21004,27440,69.0,9.2,75.6,98852,
1598433,4.3538289,50.8466357,63,,1,"Rue de la Colline 8, 1000 Bruxelles",21004A1214/00_000,21004,27440,69.0,9.2,75.6,98852,
1645813,4.3538726,50.8466708,44,,1,"Rue de la Colline 6, 1000 Bruxelles",21004A1215/00_000,21004,27440,69.0,9.2,75.6,98852,
1645811,4.3538784,50.8467052,31,,1,"Rue de la Colline 4, 1000 Bruxelles",21004A1216/00_000,21004,27440,69.0,9.2,75.6,98852,
1639970,4.3539705,50.8465732,260,,2,"Rue du Marché aux Herbes 91, 1000 Bruxelles",21004A0937/00D000,21004,27440,69.0,9.2,75.6,98852,
1781883,4.3539326,50.8467405,27,,0,,21004A1217/00_000,21004,27440,69.0,9.2,75.6,98852,
1644476,4.3539586,50.8466884,59,,2,"Rue de la Colline 2, 1000 Bruxelles",21004A0934/00B000,21004,27440,69.0,9.2,75.6,98852,
1643352,4.3539976,50.846437,65,,0,,21004A0938/00F000,21004,27440,69.0,9.2,75.6,98852,
1606564,4.3539914,50.8466754,38,,1,"Rue du Marché aux Herbes 87, 1000 Bruxelles",21004A0936/00A000,21004,27440,69.0,9.2,75.6,98852,
1635475,4.3540763,50.8465181,112,,1,"Rue du Marché aux Herbes 93, 1000 Bruxelles",21004A0938/00F000,21004,27440,69.0,9.2,75.6,98852,
1612374,4.3541242,50.8464858,66,,1,"Rue du Marché aux Herbes 95, 1000 Bruxelles",21004A0939/00_000,21004,27440,69.0,9.2,75.6,98852,
1644477,4.3541391,50.8464551,75,,1,"Rue du Marché aux Herbes 97, 1000 Bruxelles",21004A0940/00D000,21004,27440,69.0,9.2,75.6,98852,
1655982,4.3541921,50.8464338,67,,1,"Rue du Marché aux Herbes 99, 1000 Bruxelles",21004A0941/00A000,21004,27440,69.0,9.2,75.6,98852,
1654303,4.3542124,50.8464004,78,,1,"Rue du Marché aux Herbes 101, 1000 Bruxelles",21004A0942/00A000,21004,27440,69.0,9.2,75.6,98852,
1611164,4.3542677,50.8463548,117,,1,"Rue du Marché aux Herbes 103, 1000 Bruxelles",21004A0943/00A000,21004,27440,69.0,9.2,75.6,98852,
1639017,4.35455,50.8468703,130,,2,"Rue de la Montagne 4B, 1000 Bruxelles",21802B1101/00E000,21004,27440,69.0,9.2,75.6,98852,
1640085,4.3532673,50.8462684,1252,,15,"Grand-Place 14, 1000 Bruxelles",21004A1205/00E000,21004,27440,69.0,9.2,75.6,98852,
1638831,4.3532677,50.8461427,90,,0,,21004A1202/00F000,21004,27440,69.0,9.2,75.6,98852,
1608880,4.3537961,50.8461964,2976,,8,"Rue des Eperonniers 25, 1000 Bruxelles",21004A1111/00B000,21004,27440,69.0,9.2,75.6,98852,
1646708,4.3533449,50.8461852,60,,0,,21004A1204/00H000,21004,27440,69.0,9.2,75.6,98852,
1635563,4.3540157,50.8460117,118,,1,"Rue des Eperonniers 15, 1000 Bruxelles",21004A1101/00A000,21004,27440,69.0,9.2,75.6,98852,
1642271,4.3539953,50.8463855,64,,0,,21004A0938/00F000,21004,27440,69.0,9.2,75.6,98852,
1648001,4.3539821,50.8459165,43,,1,"Rue des Eperonniers 21, 1000 Bruxelles",21004A1111/00B000,21004,27440,69.0,9.2,75.6,98852,
1643300,4.3540563,50.8460497,103,,1,"Rue des Eperonniers 13, 1000 Bruxelles",21004A1100/00_000,21004,27440,69.0,9.2,75.6,98852,
1642255,4.3540152,50.8459475,28,,2,"Rue des Eperonniers 19, 1000 Bruxelles",21004A1103/00C000,21004,27440,69.0,9.2,75.6,98852,
1608844,4.3540665,50.8463532,42,,0,,21004A0941/00A000,21004,27440,69.0,9.2,75.6,98852,
1613457,4.354064,50.8459667,22,,1,"Rue des Eperonniers 17, 1000 Bruxelles",21004A1102/00_000,21004,27440,69.0,9.2,75.6,98852,
1643302,4.3542111,50.8462122,106,,2,"Rue des Eperonniers 5, 1000 Bruxelles",21004A1096/00E000,21004,27440,69.0,9.2,75.6,98852,
1642270,4.3542346,50.8459276,26,,1,"Rue des Eperonniers 12, 1000 Bruxelles",21004A1088/00_000,21004,27440,69.0,9.2,75.6,98852,
1644486,4.3542607,50.8462291,30,,0,,21004A0947/00E000,21004,27440,69.0,9.2,75.6,98852,
1598441,4.35432,50.8459213,100,,1,"Rue des Eperonniers 10, 1000 Bruxelles",21004A1089/00D000,21004,27440,69.0,9.2,75.6,98852,
1612304,4.3543309,50.8462943,82,,1,"Rue du Marché aux Herbes 109, 1000 Bruxelles",21004A0946/00A000,21004,27440,69.0,9.2,75.6,98852,
1608896,4.3543761,50.846265,80,,1,"Rue du Marché aux Herbes 111, 1000 Bruxelles",21004A0947/00E000,21004,27440,69.0,9.2,75.6,98852,
1597156,4.3543503,50.8461883,49,,1,"Rue des Eperonniers 3, 1000 Bruxelles",21004A1095/00_000,21004,27440,69.0,9.2,75.6,98852,
1638888,4.3543718,50.8460027,51,,1,"Rue des Eperonniers 8, 1000 Bruxelles",21004A1090/00A000,21004,27440,69.0,9.2,75.6,98852,
1669427,4.3544004,50.8462114,35,,1,"Rue des Eperonniers 1A, 1000 Bruxelles",21004A1094/00A000,21004,27440,69.0,9.2,75.6,98852,
1641200,4.3545051,50.8459669,122,,1,"Rue de la Madeleine 7, 1000 Bruxelles",21004A0953/00A000,21004,27440,69.0,9.2,75.6,98852,
1672102,4.3544015,50.8460421,22,,1,"Rue des Eperonniers 6, 1000 Bruxelles",21004A1091/00A000,21004,27440,69.0,9.2,75.6,98852,
1673174,4.3545032,50.8462524,97,,2,"Rue des Eperonniers 1, 1000 Bruxelles",21004A0948/00A000,21004,27440,69.0,9.2,75.6,98852,
1645814,4.3544558,50.846069,31,,1,"Rue des Eperonniers 4, 1000 Bruxelles",21004A1092/00_000,21004,27440,69.0,9.2,75.6,98852,
1641245,4.3545107,50.8460304,73,,1,"Rue de la Madeleine 5, 1000 Bruxelles",21004A0952/00C000,21004,27440,69.0,9.2,75.6,98852,
1613452,4.3544963,50.8461007,18,,1,"Rue des Eperonniers 2, 1000 Bruxelles",21004A1093/00_000,21004,27440,69.0,9.2,75.6,98852,
1643555,4.3545564,50.8459366,55,,1,"Rue de la Madeleine 9, 1000 Bruxelles",21004A0954/00A000,21004,27440,69.0,9.2,75.6,98852,
