building_id,hauteur_m
ACT_0e53bf81-fbc9-4200-85fd-6739984c1224,6.095
ACT_0e8a0832-cb08-4252-8592-1106d28cbe50,9.672
ACT_0e97725e-2a54-4a6c-b501-f67071a014cc,6.573
ACT_0ec6ac6e-f7fd-4f26-afe1-8c718d93a361,6.805
ACT_0ecb104b-01da-46c6-abe7-921fb1ddf01e,7.198
ACT_0ed8d8a1-d631-4fe5-825b-d81996ebcbde,10.093
ACT_0edcbb3f-c686-43e6-825a-0d4d82e6b07f,14.023
ACT_0ee3c69c-712f-45b7-b9c9-219dd76a4137,3.33
ACT_0eeeb6b1-066c-4aca-9f95-6c6933796763,4.008
ACT_0f9fae2e-2e66-4c2b-bb44-4ebf9e5fcb26,8.647
ACT_0fa9f0eb-27b3-4512-b7a3-8e6a6451979a,8.815
ACT_0fb420f5-2372-4a6c-ba91-5b2ac7ec2f6b,11.697
ACT_0fb4ba76-47d6-4fc7-b880-4b0bc372b56a,7.856
ACT_0fcfc51a-43d8-4c19-9a45-3ad5436ba410,7.264
ACT_0fdc128e-2b37-44d0-a405-afb6bba7e0f7,9.303
ACT_0ff4eda6-353c-4889-90d1-cfaa0661ce71,14.62
ACT_0ffcff45-ca59-445c-8658-c1a353835bc4,3.822
ACT_101273b6-7a97-4b40-808d-169da213a6ab,5.145
ACT_102d8fec-1f65-4e25-a1bf-a4fa3db9cd1a,3.962
ACT_10365bc9-8248-4ca4-ab2e-7c604b63530c,9.388
ACT_10813491-1d5b-4a42-9bf7-a11422278438,9.928
ACT_1081d4d9-1755-43ae-8136-5de6e542d772,8.388
ACT_1082be4b-74cb-4864-b50c-a60491e66138,11.25
ACT_109b7f3d-7e28-4a01-b3ee-6b6872a46ac7,8.029
ACT_10d3cece-3a8a-42c7-9e7d-22a64516c3f8,9.604
ACT_10eb9c3f-8094-4b36-a63f-40b189144b0e,11.033
ACT_110613c3-7eab-428a-86c7-9c4814ec4ac0,10.085
ACT_110835bd-46e1-4d38-89df-de3fdab0e6b6,9.973
ACT_1140b292-6073-4a5c-bc85-21de4efc1087,10.281
ACT_11621b62-1b3a-44fe-a491-fa680c32517e,12.101
ACT_11820b99-9f69-44c3-829f-f9961f194f13,7.106
ACT_118ac286-13b0-4135-9612-467726048a51,4.402
ACT_11d02fa2-4d9a-4e89-b54d-03a6e9a4ea21,11.231
ACT_11d9eb74-d1c1-4c01-8aea-f821c8b8325d,10.792
ACT_11dc5b62-4073-41b5-ab88-8565fccad348,8.69
ACT_11ec75a5-615a-4647-8944-22e9b2a3b094,9.746
ACT_11f8dd1c-5aa7-41cf-9c02-c683e6cbaf78,10.564
ACT_120bddff-fb88-45a7-8a25-4ad199f734f4,8.198
ACT_123404b9-d35a-4226-b289-f373421a18ae,2.684
ACT_129e2382-4274-4259-b6bb-d4f5b843f478,8.637
ACT_12a8fb82-1976-4afb-9360-03e7ff78f1c7,11.503
ACT_12af8337-9077-47f0-85dc-a8d7a0dc383a,9.032
ACT_1302196b-083d-4683-b5ce-44ac7ad82ba3,3.684
ACT_1307da27-9bd7-4a0b-878d-ebd31ac1699a,9.592
ACT_13140857-f4b7-43a7-9218-14146cb72382,12.532
ACT_138c8559-c93d-4884-8e54-894d13d17d20,9.919
ACT_13a86a47-cdc0-4165-a033-bffdb65cf7c5,12.115
ACT_13c41b50-7db6-4406-8466-2ef1627cafb4,12.559
ACT_13c6944f-4dd3-4d64-b4b8-26ef4a71e7e4,11.354
ACT_13ebbc76-120d-4910-9ef8-27082f19a77b,14.468
ACT_1401c885-0222-4c16-ace4-805681251489,5.249
ACT_1406be03-b641-4889-8e66-803b3c49a46a,11.222
