numero_dpe,date_etablissement_dpe,id_rnb,identifiant_ban,adresse_ban,code_postal_ban,nom_commune_ban,code_departement_ban,type_batiment,periode_construction,annee_construction,surface_habitable_logement,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ep,rnb_status,rnb_lon,rnb_lat,rnb_insee_code,rnb_n_addresses,rnb_match,bdnb_batiment_groupe_id,bdnb_hauteur,bdnb_s_geom_cstr,bdnb_altitude_sol,bdnb_annee_construction,bdnb_mat_mur,bdnb_mat_toit,bdnb_nb_niveau,bdnb_nb_log,bdnb_usage,bdnb_alea_argiles,alea_argiles_final,alea_argiles_source
2675E1525648W,2026-06-07,NHYTJZMXMPK9,75119_3308_00016,16 Rue de l'Equerre 75019 Paris,75019,Paris,75,appartement,1989-2000,1995,17.1,C,A,191,constructed,2.382387028688234,48.87445195034414,75119,2,adresse_ban,bdnb-bg-K9Q8-BHG1-FYYY,18.9,205,77.3,1996,INDETERMINE,INDETERMINE,7,76,Résidentiel collectif,,Non exposé,Géorisques
2675E1523211D,2026-06-07,NJEYVB514NM2,75119_3308_00013,13 Rue de l'Equerre 75019 Paris,75019,Paris,75,maison,avant 1948,,145.8,D,D,155,constructed,2.382106768150813,48.874932631729315,75119,1,adresse_ban,bdnb-bg-WUHS-X7ZY-C57F,17.5,65,76.9,2005,BETON - PIERRE,ARDOISES - TUILES,4,1,Résidentiel individuel,,Non exposé,Géorisques
2675E1524413J,2026-06-07,KMC5AMJ62ZR8,75103_9905_00018,18 Rue Volta 75003 Paris,75003,Paris,75,appartement,avant 1948,,49.8,E,B,256,constructed,2.357129511715992,48.864988602478206,75103,2,adresse_ban,bdnb-bg-F27T-HYCS-VGR9,17.9,193,35.0,1838,PIERRE - AUTRES,ZINC ALUMINIUM,7,34,Résidentiel collectif,,Non exposé,Géorisques
2675E1523738K,2026-06-07,D9FX5ZDYXRQN,75104_1601_00011,11 Rue Castex 75004 Paris,75004,Paris,75,appartement,avant 1948,,57.1,F,E,376,constructed,2.36610146443847,48.853003649004116,75104,1,adresse_ban,bdnb-bg-GWMW-9KR1-A9UG,16.3,242,36.0,1870,MEULIERE - PIERRE,ZINC ALUMINIUM,6,37,Résidentiel collectif,,Non exposé,Géorisques
2675E1525504I,2026-06-07,6C1XRVWQBW9Z,75111_7090_00004,4 Rue Pasteur 75011 Paris,75011,Paris,75,appartement,avant 1948,,26.7,G,C,653,constructed,2.374844176235586,48.86178756139859,75111,1,adresse_ban,bdnb-bg-TBY4-THC4-JRXZ,15.5,194,41.3,1880,MEULIERE - PIERRE,ZINC ALUMINIUM,7,27,Résidentiel collectif,,Non exposé,Géorisques
2675E1524856K,2026-06-07,ZWCX2EAD8VRK,75119_3659_00013,13 Avenue de Flandre 75019 Paris,75019,Paris,75,appartement,1978-1982,,49,E,E,268,constructed,2.369218809016894,48.88503983299702,75119,1,adresse_ban,bdnb-bg-7VMU-AUPR-6EH5,27.2,235,50.0,1993,INDETERMINE,INDETERMINE,10,70,Résidentiel collectif,,Non exposé,Géorisques
2675E1523364A,2026-06-07,TKRP886EMVXR,75105_4475_00020,20 Rue de la Harpe 75005 Paris,75005,Paris,75,appartement,avant 1948,,56.9,D,B,217,constructed,2.344213391238213,48.852210472210515,75105,1,adresse_ban,bdnb-bg-SNFP-EY3N-TGDP,17.5,172,35.9,1863,PIERRE,ZINC ALUMINIUM,7,9,Résidentiel collectif,,Non exposé,Géorisques
2675E1524452W,2026-06-07,8TTNSSQZ16PD,75112_2472_00043,43 Rue Crozatier 75012 Paris,75012,Paris,75,appartement,avant 1948,,36.2,G,C,439,constructed,2.380314746528523,48.84811003666771,75112,1,adresse_ban,bdnb-bg-YJT3-EJDR-K2EJ,20.0,294,35.3,1872,MEULIERE - PIERRE,ZINC ALUMINIUM,7,27,Résidentiel collectif,,Non exposé,Géorisques
2675E1523276Q,2026-06-07,EBENZXAB97DN,75111_3737_00018,18 Rue de la Forge Royale 75011 Paris,75011,Paris,75,appartement,avant 1948,1945,12.8,C,A,210,constructed,2.380730005598669,48.85158015246516,75111,2,adresse_ban,bdnb-bg-XGRE-9M7G-ZXWX,16.4,396,35.0,1840,INDETERMINE,INDETERMINE,6,73,Résidentiel collectif,,Non exposé,Géorisques
2675E1524091Z,2026-06-07,DGHKHPCQCCRB,75112_2086_00008,8 Rue Claude Tillier 75012 Paris,75012,Paris,75,appartement,avant 1948,,22.5,D,B,266,constructed,2.387853351239346,48.847883295022285,75112,1,adresse_ban,bdnb-bg-YB5G-MXAN-37YG,14.6,155,43.1,1870,INDETERMINE,INDETERMINE,6,25,Résidentiel collectif,,Non exposé,Géorisques
2675E1525225P,2026-06-07,YATK85D5XABC,75120_7534_00014,14 Rue des Plâtrières 75020 Paris,75020,Paris,75,appartement,avant 1948,,41.4,G,G,455,constructed,2.390102885563222,48.8676137166017,75120,3,adresse_ban,bdnb-bg-HM9A-J7GG-TX88,25.2,198,71.5,1937,BRIQUES - AUTRES,BETON - AUTRES,8,30,Résidentiel collectif,,Non exposé,Géorisques
2675E1523787H,2026-06-07,SQWP81YEJDMK,75115_5422_00107,107 Rue Leblanc 75015 Paris,75015,Paris,75,appartement,1948-1974,,31.3,D,D,198,constructed,2.282056353398328,48.83653992350965,75115,8,adresse_ban,bdnb-bg-U5E5-9EDL-U87D,16.4,1556,33.6,1971,BETON,BETON,17,610,Résidentiel collectif,,Non exposé,Géorisques
2675E1523329R,2026-06-07,RWM9TEMETCPF,75105_4475_00022,22 Rue de la Harpe 75005 Paris,75005,Paris,75,appartement,avant 1948,,53.4,E,E,273,constructed,2.344115474701007,48.85210091376068,75105,1,adresse_ban,bdnb-bg-W8WY-9BLU-99V4,19.1,162,35.9,1863,PIERRE,ZINC ALUMINIUM,7,14,Résidentiel collectif,,Non exposé,Géorisques
2675E1525668Q,2026-06-07,4R4YFDH1Z57T,75119_2092_00025,25 Rue Clavel 75019 Paris,75019,Paris,75,appartement,avant 1948,,36.6,C,A,164,constructed,2.38309705053057,48.875381118547814,75119,7,adresse_ban,bdnb-bg-VKJT-UKY3-WZVF,19.2,1435,92.8,1912,BRIQUES - PIERRE,ARDOISES - ZINC ALUMINIUM,7,167,Résidentiel collectif,,Non exposé,Géorisques
2675E1523341D,2026-06-07,RWM9TEMETCPF,75105_4475_00022,22 Rue de la Harpe 75005 Paris,75005,Paris,75,appartement,avant 1948,,63.1,G,C,626,constructed,2.344115474701007,48.85210091376068,75105,1,adresse_ban,bdnb-bg-W8WY-9BLU-99V4,19.1,162,35.9,1863,PIERRE,ZINC ALUMINIUM,7,14,Résidentiel collectif,,Non exposé,Géorisques
2675E1525523B,2026-06-07,37J9YHMKWH22,75111_8358_00079,79 Rue de la Roquette 75011 Paris,75011,Paris,75,appartement,avant 1948,,27.2,C,B,199,constructed,2.377657880571845,48.85686002520822,75111,2,adresse_ban,bdnb-bg-SDV5-S641-CENV,19.4,224,35.0,1850,MEULIERE,ZINC ALUMINIUM,7,28,Résidentiel collectif,,Non exposé,Géorisques
2675E1525334U,2026-06-07,8M2JBB4DN2J1,75103_7514_00001,1 Impasse de la Planchette 75003 Paris,75003,Paris,75,appartement,avant 1948,,54.8,D,B,239,constructed,2.355500676514843,48.86841086924758,75103,2,adresse_ban,bdnb-bg-D7QH-KVJH-4ALR,13.0,150,35.6,1880,INDETERMINE,INDETERMINE,5,1,Tertiaire & Autres,,Non exposé,Géorisques
2675E1523968G,2026-06-07,P3ER3TJYEB8T,75116_7587_00056,56 Rue de la Pompe 75016 Paris,75016,Paris,75,appartement,1948-1974,,16,G,D,1147,constructed,2.276705353153564,48.86209106942277,75116,1,adresse_ban,bdnb-bg-B1HG-Z2ZV-ZXJV,8.6,300,55.9,1973,BETON,BETON,9,198,Résidentiel collectif,,Non exposé,Géorisques
2675E1523389Z,2026-06-07,93R88J11EX44,75115_2714_00007,7 Square Desaix 75015 Paris,75015,Paris,75,appartement,avant 1948,1930,68.1,C,C,148,constructed,2.291778697342518,48.85297924969846,75115,6,adresse_ban,bdnb-bg-RC3S-A7GH-52YY,22.4,2296,32.9,1930,BRIQUES - PIERRE,BETON - ZINC ALUMINIUM,9,197,Résidentiel collectif,,Non exposé,Géorisques
2675E1525532K,2026-06-07,W8NKNDNW79DA,75115_2300_00105,105 Rue de la Convention 75015 Paris,75015,Paris,75,appartement,1948-1974,,60,D,C,181,constructed,2.287660665628864,48.84140909816146,75115,3,adresse_ban,bdnb-bg-CFTG-75J6-SV4R,28.6,664,32.0,1963,BETON,ZINC ALUMINIUM,10,173,Résidentiel collectif,,Non exposé,Géorisques
2675E1524143Z,2026-06-07,MXRBQG4NQZPE,75116_2084_00049,49 Rue Claude Terrasse 75016 Paris,75016,Paris,75,appartement,avant 1948,,56.7,F,F,389,constructed,2.261252971549942,48.8375646205926,75116,1,adresse_ban,bdnb-bg-EKDE-28UE-X6PK,16.8,147,37.2,1912,BRIQUES - MEULIERE,TUILES - ZINC ALUMINIUM,5,14,Résidentiel collectif,,Non exposé,Géorisques
2675E1524618G,2026-06-07,QVFX592V8CGM,75105_6432_00070,70 Rue Monge 75005 Paris,75005,Paris,75,appartement,avant 1948,,11.3,G,C,625,constructed,2.351933739020738,48.843484940950205,75105,1,adresse_ban,bdnb-bg-JZK7-3G49-3TJW,19.9,227,48.7,1920,PIERRE,ARDOISES,7,26,Résidentiel collectif,,Non exposé,Géorisques
2675E1523226S,2026-06-07,MZ8A5T42JPP7,75110_9838_00027,27 Boulevard de la Villette 75010 Paris,75010,Paris,75,appartement,avant 1948,,17.2,F,C,480,constructed,2.374839142346503,48.873625393866774,75110,2,adresse_ban,bdnb-bg-Y3FS-S7Z3-XEJ7,15.2,408,55.2,1878,BRIQUES - MEULIERE,ZINC ALUMINIUM,4,17,Résidentiel collectif,,Non exposé,Géorisques
2675E1524103L,2026-06-07,N792DZ3QP1YW,75109_1363_00010,10 Rue de Budapest 75009 Paris,75009,Paris,75,appartement,avant 1948,,16.9,E,E,314,constructed,2.327665620736813,48.87642691099948,75109,1,adresse_ban,bdnb-bg-DVTT-WDQ8-XXJ7,22.7,146,32.4,1996,INDETERMINE,INDETERMINE,6,23,Résidentiel collectif,,Non exposé,Géorisques
